-BEGIN HEADER-,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,,,
Dates (month/day/year): 05/01/2019 through 05/03/2023 ,,,,,,,,,,
Location: Latitude  22.5654   Longitude 87.1554 ,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 99.55 meters,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,
Parameter(s): ,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,
PS                    MERRA-2 Surface Pressure (kPa) ,h,,,,,,,,,
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,
-END HEADER-,,,,,,,,,,
YEAR,MO,DY,HR,T2M,QV2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,PS,WS50M
2019,5,1,6,26.34,19.04,0.07,92.35,95.85,99.37,5.43
2019,5,1,7,28.59,18.86,0.09,303.38,297.92,99.45,7.36
2019,5,1,8,31.24,17.7,0.07,528.77,535.55,99.5,8.01
2019,5,1,9,33.93,16.42,0.01,691.23,730.35,99.52,8.14
2019,5,1,10,36.42,15.08,0.01,872.33,880.95,99.48,8.24
2019,5,1,11,38.3,13.98,0.01,893.88,955.92,99.41,8.38
2019,5,1,12,39.42,13.31,0.02,835.32,952.2,99.31,8.59
2019,5,1,13,39.79,12.94,0.02,859.22,890.2,99.2,8.91
2019,5,1,14,39.48,12.88,0.02,763.69,764.83,99.13,9.32
2019,5,1,15,38.44,13.06,0.02,585.63,582.05,99.08,9.65
2019,5,1,16,36.81,13.43,0.02,373.5,367,99.09,10.03
2019,5,1,17,34.61,13.92,0.01,152.3,148.35,99.14,10.32
2019,5,1,18,32.12,14.77,0,15.01,11.5,99.22,9.93
2019,5,1,19,30.36,15.81,0,0,0,99.3,9.1
2019,5,1,20,29.3,16.72,0,0,0,99.37,8.39
2019,5,1,21,28.64,17.46,0,0,0,99.42,7.95
2019,5,1,22,28.2,17.94,0,0,0,99.46,7.06
2019,5,1,23,27.72,18.19,0,0,0,99.46,6.06
2019,5,2,0,27.2,18.25,0,0,0,99.41,5.5
2019,5,2,1,26.74,18.25,0,0,0,99.34,5.27
2019,5,2,2,26.51,18.31,0,0,0,99.28,5.36
2019,5,2,3,26.23,18.43,0,0,0,99.24,5.54
2019,5,2,4,26.09,18.68,0,0,0,99.23,5.58
2019,5,2,5,25.78,19.04,0,6.64,3.42,99.26,5.55
2019,5,2,6,26.79,19.23,0,71.92,104.17,99.36,5.77
2019,5,2,7,29.23,18.62,0,220.74,315.12,99.48,7.31
2019,5,2,8,31.62,17.82,0.01,349.91,537.62,99.56,7.85
2019,5,2,9,33.85,17.15,0.01,462.71,727.7,99.58,8.02
2019,5,2,10,35.69,16.66,0.01,407.3,864.33,99.56,8.09
2019,5,2,11,36.89,16.24,0.02,628.38,939.65,99.51,8.45
2019,5,2,12,37.23,15.93,0.04,587.21,960.8,99.45,8.9
2019,5,2,13,37.1,15.75,0.05,587.82,902.75,99.37,9.13
2019,5,2,14,36.73,15.69,0.08,531.85,778.6,99.29,9.19
2019,5,2,15,35.83,15.75,0.11,317.32,601.27,99.24,9.09
2019,5,2,16,34.48,15.99,0.1,187.55,387.42,99.23,8.97
